addressLine1,formattedAddress,city,state,zipCode,price,addressLine2,county,bedrooms,bathrooms,squareFootage,propertyType,createdDate,lastSeen,status,removedDate,listedDate,daysOnMarket,yearBuilt,id,latitude,longitude,lotSize
101 Crandon Blvd,"101 Crandon Blvd, Apt 378, Miami, FL 33149",Miami,FL,33149,6500,Apt 378,Miami-Dade,3.0,2.0,1820.0,Condo,2019-11-01T10:30:14.551Z,2023-06-12T00:00:00.000Z,Active,,2023-03-31T00:00:00.000Z,74,1981.0,"101-Crandon-Blvd,-Apt-378,-Miami,-FL-33149",25.697742,-80.160726,
1010 Brickell Ave,"1010 Brickell Ave, Unit 2510, Miami, FL 33131",Miami,FL,33131,3150,Unit 2510,Miami-Dade,,1.0,442.0,Condo,2019-08-03T08:12:11.706Z,2023-06-12T00:00:00.000Z,Active,,2023-04-28T00:00:00.000Z,46,2017.0,"1010-Brickell-Ave,-Unit-2510,-Miami,-FL-33131",25.764019,-80.192266,
1010 Brickell Ave,"1010 Brickell Ave, Unit 3103, Miami, FL 33131",Miami,FL,33131,6500,Unit 3103,Miami-Dade,3.0,3.0,1283.0,Condo,2019-05-06T06:02:04.262Z,2023-06-12T00:00:00.000Z,Active,,2023-06-07T00:00:00.000Z,6,2017.0,"1010-Brickell-Ave,-Unit-3103,-Miami,-FL-33131",25.764019,-80.192266,
1010 Brickell Ave,"1010 Brickell Ave, Unit 2204, Miami, FL 33131",Miami,FL,33131,6450,Unit 2204,Miami-Dade,2.0,3.0,1325.0,Condo,2019-05-06T06:03:29.530Z,2023-06-12T00:00:00.000Z,Active,,2023-02-08T00:00:00.000Z,125,2017.0,"1010-Brickell-Ave,-Unit-2204,-Miami,-FL-33131",25.764019,-80.192266,
1010 Brickell Ave,"1010 Brickell Ave, Unit 2307, Miami, FL 33131",Miami,FL,33131,6500,Unit 2307,Miami-Dade,2.0,2.0,970.0,Condo,2019-08-03T11:31:40.076Z,2023-06-12T00:00:00.000Z,Active,,2023-04-03T00:00:00.000Z,71,2017.0,"1010-Brickell-Ave,-Unit-2307,-Miami,-FL-33131",25.764019,-80.192266,
1010 Brickell Ave,"1010 Brickell Ave, Unit 4608, Miami, FL 33131",Miami,FL,33131,4200,Unit 4608,Miami-Dade,1.0,1.5,759.0,Condo,2019-05-06T09:02:56.316Z,2023-06-12T00:00:00.000Z,Active,,2023-06-05T00:00:00.000Z,8,2017.0,"1010-Brickell-Ave,-Unit-4608,-Miami,-FL-33131",25.764019,-80.192266,
1010 Brickell Ave,"1010 Brickell Ave, Unit 3504, Miami, FL 33131",Miami,FL,33131,6950,Unit 3504,Miami-Dade,3.0,3.0,1325.0,Condo,2019-08-03T11:30:32.293Z,2023-06-12T00:00:00.000Z,Active,,2023-05-22T00:00:00.000Z,22,2017.0,"1010-Brickell-Ave,-Unit-3504,-Miami,-FL-33131",25.764019,-80.192266,
1010 Brickell Ave,"1010 Brickell Ave, Unit 4802, Miami, FL 33131",Miami,FL,33131,7200,Unit 4802,Miami-Dade,2.0,3.0,1314.0,Condo,2019-08-03T08:09:10.445Z,2023-06-12T00:00:00.000Z,Active,,2023-06-07T00:00:00.000Z,6,2017.0,"1010-Brickell-Ave,-Unit-4802,-Miami,-FL-33131",25.764019,-80.192266,
10142 Sw 77th Ct,"10142 Sw 77th Ct, Miami, FL 33156",Miami,FL,33156,3000,,Miami-Dade,3.0,2.5,1348.0,Townhouse,2019-10-29T07:08:23.178Z,2023-06-12T00:00:00.000Z,Active,,2023-05-24T00:00:00.000Z,20,1987.0,"10142-Sw-77th-Ct,-Miami,-FL-33156",25.676368,-80.32122,
1023 Sw 6th St,"1023 Sw 6th St, Miami, FL 33130",Miami,FL,33130,1750,,Miami-Dade,,2.0,,Apartment,2019-10-29T11:06:25.323Z,2023-06-12T00:00:00.000Z,Active,,2023-01-03T00:00:00.000Z,161,,"1023-Sw-6th-St,-Miami,-FL-33130",25.768147,-80.211866,
10371 Sw 150th Pl,"10371 Sw 150th Pl, Apt 5107, Miami, FL 33196",Miami,FL,33196,2100,Apt 5107,Miami-Dade,1.0,1.0,804.0,Condo,2019-10-25T16:16:20.548Z,2023-06-12T00:00:00.000Z,Active,,2023-06-08T00:00:00.000Z,5,1991.0,"10371-Sw-150th-Pl,-Apt-5107,-Miami,-FL-33196",25.671241,-80.439021,
1040 Biscayne Blvd,"1040 Biscayne Blvd, Apt 3205, Miami, FL 33132",Miami,FL,33132,3450,Apt 3205,Miami-Dade,1.0,1.5,791.0,Condo,2019-05-06T06:50:56.782Z,2023-06-12T00:00:00.000Z,Active,,2023-04-12T00:00:00.000Z,62,2007.0,"1040-Biscayne-Blvd,-Apt-3205,-Miami,-FL-33132",25.784638,-80.190158,
1040 Biscayne Blvd,"1040 Biscayne Blvd, Apt 3007, Miami, FL 33132",Miami,FL,33132,5900,Apt 3007,Miami-Dade,2.0,2.5,1123.0,Condo,2019-10-16T02:08:51.144Z,2023-06-12T00:00:00.000Z,Active,,2023-02-10T00:00:00.000Z,123,2007.0,"1040-Biscayne-Blvd,-Apt-3007,-Miami,-FL-33132",25.784638,-80.190158,
1040 Biscayne Blvd,"1040 Biscayne Blvd, Apt 3508, Miami, FL 33132",Miami,FL,33132,3600,Apt 3508,Miami-Dade,1.0,1.5,808.0,Condo,2019-08-25T00:36:20.506Z,2023-06-12T00:00:00.000Z,Active,,2023-03-25T00:00:00.000Z,80,2007.0,"1040-Biscayne-Blvd,-Apt-3508,-Miami,-FL-33132",25.784638,-80.190158,
1050 Brickell Ave,"1050 Brickell Ave, Apt 1012, Miami, FL 33131",Miami,FL,33131,4200,Apt 1012,Miami-Dade,1.0,2.0,1000.0,Condo,2019-08-03T11:21:27.913Z,2023-06-12T00:00:00.000Z,Active,,2023-05-15T00:00:00.000Z,29,2008.0,"1050-Brickell-Ave,-Apt-1012,-Miami,-FL-33131",25.763279,-80.192195,
1050 Brickell Ave,"1050 Brickell Ave, Apt 810, Miami, FL 33131",Miami,FL,33131,3100,Apt 810,Miami-Dade,1.0,2.0,1000.0,Condo,2019-09-17T19:58:03.229Z,2023-06-12T00:00:00.000Z,Active,,2023-06-07T00:00:00.000Z,6,2008.0,"1050-Brickell-Ave,-Apt-810,-Miami,-FL-33131",25.763279,-80.192195,
10571 Sw 156th Pl,"10571 Sw 156th Pl, Miami, FL 33196",Miami,FL,33196,1810,,Miami-Dade,,,,Apartment,2019-10-29T12:22:26.136Z,2023-06-12T00:00:00.000Z,Active,,2023-04-01T00:00:00.000Z,73,1988.0,"10571-Sw-156th-Pl,-Miami,-FL-33196",25.66769,-80.44803,
1060 Brickell Ave,"1060 Brickell Ave, Apt 2801, Miami, FL 33131",Miami,FL,33131,4700,Apt 2801,Miami-Dade,2.0,2.5,1368.0,Condo,2019-08-03T08:12:11.706Z,2023-06-12T00:00:00.000Z,Active,,2023-06-05T00:00:00.000Z,8,2008.0,"1060-Brickell-Ave,-Apt-2801,-Miami,-FL-33131",25.763279,-80.192195,
1060 Brickell Ave,"1060 Brickell Ave, Apt 205, Miami, FL 33131",Miami,FL,33131,4000,Apt 205,Miami-Dade,1.0,2.0,1147.0,Condo,2019-08-25T00:17:51.829Z,2023-06-12T00:00:00.000Z,Active,,2023-05-09T00:00:00.000Z,35,2008.0,"1060-Brickell-Ave,-Apt-205,-Miami,-FL-33131",25.763279,-80.192195,
1060 Brickell Ave,"1060 Brickell Ave, Apt 1409, Miami, FL 33131",Miami,FL,33131,2700,Apt 1409,Miami-Dade,,1.0,551.0,Condo,2019-05-06T05:58:25.898Z,2023-06-12T00:00:00.000Z,Active,,2023-05-26T00:00:00.000Z,18,2008.0,"1060-Brickell-Ave,-Apt-1409,-Miami,-FL-33131",25.763279,-80.192195,
